basque,english,context
erreserba,deadlock; lock,Technological Sciences > Computer technology
erresistentzia,resistance,Medical Sciences > Pharmacology
erresistentzia,resistance,Technological Sciences > Environmental technology and engineering
erresistentzia,resistance,Physics > Aplied Physics
erresistentzia,resistor; resistance,Technological Sciences > Electronic technology
erresistentzia,ohmic resistance; resistance,Physics > Electro-magnetism
erresistentzia,resistance; resistor,Technological Sciences > Electrical technology and engineering
erresistentzia,resistor; resistance,Physics > General Physics specialities
erresistentzia,resistance,Medical Sciences > Pharmaceutical Technology
erresistentzia,resistance,Physics > Mechanics
erresistentzia elektriko,electrical resistance,Physics > Electro-magnetism
erresistentzia elektriko,electrical resistance,Technological Sciences > Environmental technology and engineering
erresistentzia elektriko,electric resistence,Physics > Aplied Physics
erresistentzia elektriko,ohmic resistance,Technological Sciences > Electrical technology and engineering
erresonantzia magnetiko nuklear,magnetic resonance imaging,Medical Sciences > Medical diagnostic and Treatment Technology
erresonantzia magnetiko nuklear,nuclear magnetic resonance,Chemistry > Organic chemistry
erretentzio,retention,Chemistry > Analytical chemistry
erretentzio,retention,Medical Sciences > Pharmacology
erretentzio,deduction,Economic Sciences > Organization and management of enterprises
erretentzio,retention,Technological Sciences > Environmental technology and engineering
erretentzio-denbora,residence time,Technological Sciences > Environmental technology and engineering
erretentzio-denbora,retention time,Life sciences > Biochemistry and Molecular Biology
erretentzio-denbora,retention time,Chemistry > Analytical chemistry
erretikulu,lattice,Physics > Optics
erretikulu,reticle,Medical Sciences > Pharmaceutical Technology
erretikulu,lattice,Mathematics > Algebra
errore,error,Mathematics > Statistics
errore,error,Mathematics > Analysis and functional analysis
errore,error,Chemistry > Analytical chemistry
errore,error; fault; mistake,Technological Sciences > Computer technology
errore,error,Physics > General Physics specialities
errore,error,Technological Sciences > Instrumentation technology
errore,error,Technological Sciences > Telecommunications technology
ertz kontinental,continental edge,Technological Sciences > Environmental technology and engineering
ertz kontinental,continental margin,Earth and Space Sciences > Geology
esekidura,suspension,Technological Sciences > Environmental technology and engineering
esekidura,suspension,Life sciences > Cell biology
esekidura,hanging,Technological Sciences > Electrical technology and engineering
esekidura,suspension,Technological Sciences > Mechanical engineering and technology
esekidura,suspension,Medical Sciences > Pharmaceutical Technology
eskaintza,supply,Mathematics > Operations research
eskaintza,supply,Economic Sciences > Economic theory
eskaintza,bid; offer,Technological Sciences > Projects
eskaintza,supply,Economic Sciences > General economics
eskaintzaile,offerer; offeror,Economic Sciences > General economics
eskaintzaile,bidder,Technological Sciences > Projects
eskariaren elastikotasun,demand elasticity,Economic Sciences > Economic theory
eskariaren elastikotasun,elasticity of demand,Economic Sciences > General economics
eskariaren errenta-elastikotasun,income elasticity of demand,Economic Sciences > General economics
eskariaren errenta-elastikotasun,demand income-elasticity,Economic Sciences > Economic theory
eskariaren prezio-elastikotasun,demand price-elasticity,Economic Sciences > Economic theory
eskariaren prezio-elastikotasun,price elasticity of demand,Economic Sciences > General economics
eskuaira,square,Technological Sciences > Mechanical engineering and technology
eskuaira,set square,Technological Sciences > Industrial technology
eskualde kritiko,rejection region,Mathematics > Statistics
eskualde kritiko,critical region,Economic Sciences > Econometrics
eskulan,manpower,Technological Sciences > Projects
eskulan,manual work,Economic Sciences > Organization and management of enterprises
esleipen,assignment,Economic Sciences > Organization and management of enterprises
esleipen,allocation,Economic Sciences > Economic theory
esleipen,award,Medical Sciences > Nutritional sciences
esleipen,assignment,Technological Sciences > Instrumentation technology
esleipen,allocation; adjudication; award,Technological Sciences > Projects
esleipen,assignment,Technological Sciences > Telecommunications technology
esleipen,assignment,Medical Sciences > Pharmacology
esleipen,assignment,Technological Sciences > Computer technology
esleitu,assign,Physics > Electro-magnetism
esleitu,allocate; attribute,Technological Sciences > Computer technology
espantsio,espansion,Physics > Electro-magnetism
espantsio,expansion,Physics > Thermodynamics
espantsio,expansion,Physics > General Physics specialities
espantsio,expansion,Technological Sciences > Environmental technology and engineering
esparru,area,Technological Sciences > Projects
esparru,scope,Technological Sciences > Computer technology
espazio libre,free space,Physics > Electro-magnetism
espazio libre,free-space,Technological Sciences > Telecommunications technology
espazio libreko hedapen-galera,free-space transmission loss,Technological Sciences > Telecommunications technology
espazio libreko hedapen-galera,free space propagation loss,Physics > Electro-magnetism
espektro,spectrum,Life sciences > Biochemistry and Molecular Biology
espektro,spectrum,Medical Sciences > Pharmacology
espektro,spectra; spectrum,Chemistry > Analytical chemistry
espektro,sprectrum,Technological Sciences > Electronic technology
espektro,spectrum,Physics > Electro-magnetism
espektro,spectrum,Medical Sciences > Pharmaceutical Technology
espektro,spectrum,Physics > Theoretical physics
espektro,spectrum,Technological Sciences > Telecommunications technology
espektro,spectrum,Physics > Optics
espektro,spectrum,Chemistry > Physical chemistry
espektro,spectrum,Physics > General Physics specialities
espektro,spectra,Mathematics > Analysis and functional analysis
espezie,species,Chemistry > Analytical chemistry
espezie,species; strain,Medical Sciences > Pharmacology
espezie,species,Technological Sciences > Environmental technology and engineering
espezie,species,Medical Sciences > Pharmaceutical Technology
estaldura,outer sheath; oversheath; sheath,Technological Sciences > Electrical technology and engineering
estaldura,coating,Technological Sciences > Mechanical engineering and technology
estaldura,coating; cover,Medical Sciences > Pharmaceutical Technology
estaldura,cover,Technological Sciences > Environmental technology and engineering
estaldura,coverage,Physics > Electro-magnetism
estalki,cover,Physics > Electro-magnetism
estalki,cover; roof,Technological Sciences > Construction technology
estalki,cover,Technological Sciences > Mechanical engineering and technology
estalki,coating; cover,Medical Sciences > Pharmaceutical Technology
estalki,cover,Life sciences > Cell biology
estalki,roof,Technological Sciences > Environmental technology and engineering
estalki,covering,Mathematics > Analysis and functional analysis
estalki,cover; covering,Mathematics > Topology
estandarizazio,standardization,Technological Sciences > Food technology
estandarizazio,standardization,Mathematics > Statistics
estandarizazio,titration,Chemistry > Physical chemistry
estandarizazio,standardization,Technological Sciences > Projects
estandarizazio,standardisation,Chemistry > Analytical chemistry
estatistiko,statistic,Economic Sciences > Econometrics
estatistiko,statistic,Technological Sciences > Telecommunications technology
estatistiko,statistical,Medical Sciences > Pharmacology
estatistiko,statistic,Mathematics > Statistics
estekatzaile,complexant; complexing agent; ligand,Technological Sciences > Environmental technology and engineering
estekatzaile,link editor; linkage editor; linker,Technological Sciences > Computer technology
estekatzaile,ligand,Life sciences > Cell biology
estekatzaile,ligand,Chemistry > Analytical chemistry
estrogeno,estrogen; oestrogen,Medical Sciences > Pharmacology
estrogeno,strogen,Chemistry > Organic chemistry
estrogeno,estrogen,Life sciences > Human physiology
etekin,yield,Medical Sciences > Pharmaceutical Technology
etekin,return; yield,Economic Sciences > Organization and management of enterprises
etekin,yield,Chemistry > Analytical chemistry
etekin,efficiency; throughput; yield,Technological Sciences > Environmental technology and engineering
etekin,efficiency,Life sciences > Animal Biology
etekin,return,Economic Sciences > Economic theory
eten,discontinuity,Technological Sciences > Electrical technology and engineering
eten,interrupt,Technological Sciences > Computer technology
eten,interruption,Physics > Electro-magnetism
etenaldi,outage,Technological Sciences > Telecommunications technology
etenaldi,interrupt,Technological Sciences > Computer technology
